日付,TIF,移動元,移動先,回答数
2026-01-12,石川,永平寺,ゆのくに天祥,1
2026-01-12,石川,能登鹿島駅,のと鉄道（通常）,1
2026-01-12,石川,金沢21世紀美術館,小松空港,1
2026-01-12,石川,金沢駅,小松空港,1
2026-01-12,福井,JR美浜駅 エリア,日本海さかな街,1
2026-01-12,福井,あわら温泉街,あわら湯のまち エリア,1
2026-01-12,福井,あわら湯のまち エリア,東尋坊,1
2026-01-12,福井,うるしの里,うるしの里 エリア,1
2026-01-12,福井,メガネストリート エリア,福井駅,1
2026-01-12,福井,三国湊 エリア,敦賀赤レンガ倉庫,1
2026-01-12,福井,丸岡城,三国湊 エリア,1
2026-01-12,福井,丸岡城,越前松島水族館 エリア,2
2026-01-12,福井,北の庄城址・柴田公園,福井駅前 エリア,1
2026-01-12,福井,大本山 永平寺 エリア,日本海さかな街,1
2026-01-12,福井,大本山 永平寺 エリア,福井県立恐竜博物館,1
2026-01-12,福井,大本山永平寺,あわら湯のまち エリア,1
2026-01-12,福井,大本山永平寺,三国湊 エリア,1
2026-01-12,福井,大本山永平寺,大本山 永平寺 エリア,1
2026-01-12,福井,大本山永平寺,福井駅前 エリア,1
2026-01-12,福井,帰宅,福井駅前 エリア,1
2026-01-12,福井,東尋坊,福井駅前 エリア,1
2026-01-12,福井,東尋坊,越前松島水族館 エリア,2
2026-01-12,福井,氣比神宮,JR美浜駅 エリア,1
2026-01-12,福井,福井駅,メガネストリート エリア,1
2026-01-12,福井,越前大野城,福井駅前 エリア,1
2026-01-12,福井,越前松島水族館,道の駅「南えちぜん山海里」 エリア,1
2026-01-12,福井,越前松島水族館 エリア,福井県立恐竜博物館,2
2026-01-12,福井,越前松島水族館 エリア,福井駅,2
2026-01-12,福井,道の駅「名田庄」,道の駅「若狭おばま」 エリア,1
2026-01-13,石川,こまつの杜,小松空港,1
2026-01-13,石川,寄っていない,小松空港,1
2026-01-13,石川,近江町市場,のとじま水族館,1
2026-01-13,福井,JR美浜駅 エリア,敦賀駅,1
2026-01-13,福井,ふれあいパーク三里浜(道の駅「みくに」),道の駅「禅の里」 エリア,1
2026-01-13,福井,一乗谷朝倉氏遺跡 エリア,北の庄城址・柴田公園,1
2026-01-13,福井,三国湊 エリア,東尋坊,1
2026-01-13,福井,三方五湖,JR美浜駅 エリア,2
2026-01-13,福井,北の庄城址・柴田公園,福井駅前 エリア,1
2026-01-13,福井,大本山 永平寺 エリア,氣比神宮,1
2026-01-13,福井,大本山永平寺,三国湊 エリア,1
2026-01-13,福井,日本海さかな街,あわら湯のまち エリア,1
2026-01-13,福井,氣比神宮,北陸新幹線 越前たけふ駅 エリア,1
2026-01-13,福井,道の駅「河野」,一乗谷朝倉氏遺跡 エリア,1
2026-01-13,福井,道の駅「禅の里」 エリア,道の駅「九頭竜・和泉ふれあい会館」,1
2026-01-13,福井,道の駅みくに ふれあいパーク三里浜 エリア,丸岡城,1
2026-01-14,石川,ひがし茶屋街,ゆのくに天祥,1
2026-01-14,石川,トリフィートホテル&ポッド金沢百万石通,金沢駅,1
2026-01-14,福井,丸岡城,一乗谷朝倉氏遺跡 エリア,1
2026-01-14,福井,丸岡城,道の駅「禅の里」 エリア,1
2026-01-14,福井,自宅,道の駅「禅の里」 エリア,1
2026-01-14,福井,越前大野城,道の駅「越前おおの荒島の郷」 エリア,1
2026-01-14,福井,道の駅「越前おおの荒島の郷」 エリア,一乗谷朝倉氏遺跡,1
2026-01-15,石川,小松空港,金沢市内,1
2026-01-15,福井,JR敦賀駅前 エリア,氣比神宮,1
2026-01-15,福井,エルガイアおおい,道の駅「シーサイド高浜」 エリア,1
2026-01-15,福井,丸岡城,北潟湖 エリア,1
2026-01-15,福井,劔神社 エリア,東尋坊,1
2026-01-15,福井,北潟湖 エリア,丸岡城,1
2026-01-15,福井,名田庄 エリア,舞鶴（京都府）,1
2026-01-15,福井,大本山永平寺,北潟湖 エリア,2
2026-01-15,福井,氣比神宮,道の駅「恐竜渓谷かつやま」 エリア,2
2026-01-15,福井,福井県立恐竜博物館,大本山 永平寺 エリア,1
2026-01-15,福井,越前そばの里 エリア,越前松島水族館,1
2026-01-15,福井,越前大野城,福井駅前 エリア（宿泊施設）,1
2026-01-15,福井,道の駅「シーサイド高浜」 エリア,若狭たかはま エルどらんど,1
2026-01-15,福井,道の駅「恐竜渓谷かつやま」,大本山 永平寺 エリア,1
2026-01-15,福井,道の駅「恐竜渓谷かつやま」,道の駅「越前おおの荒島の郷」 エリア,1
2026-01-15,福井,道の駅「恐竜渓谷かつやま」 エリア,大本山永平寺,2
2026-01-16,石川,ゆのくに天祥,金沢市,1
2026-01-16,石川,イオンモール新小松,小松空港,1
2026-01-16,石川,兼六園,法師旅館,2
2026-01-16,石川,小松空港,帰宅,1
2026-01-16,石川,山中温泉,山代温泉　総湯,1
2026-01-16,石川,近江町市場,法師旅館,1
2026-01-16,福井,あわら湯のまち エリア,福井県立恐竜博物館,1
2026-01-16,福井,一乗谷朝倉氏遺跡 エリア,丸岡城,1
2026-01-16,福井,大本山 永平寺 エリア,一乗谷朝倉氏遺跡,1
2026-01-16,福井,大本山 永平寺 エリア,福井県立恐竜博物館,1
2026-01-16,福井,大本山永平寺,かつやま恐竜の森 エリア,1
2026-01-16,福井,岡太神社・大瀧神社,越前そばの里 エリア,2
2026-01-16,福井,敦賀赤レンガ倉庫,金ヶ崎 エリア,1
2026-01-16,福井,東尋坊,あわら湯のまち エリア,1
2026-01-16,福井,福井県立恐竜博物館,道の駅「禅の里」 エリア,1
2026-01-16,福井,福井駅,一乗谷朝倉氏遺跡 エリア,1
2026-01-16,福井,越前がにミュージアム,福井駅前 エリア（宿泊施設）,1
2026-01-16,福井,越前がにミュージアム,道の駅「パークイン丹生ヶ丘」 エリア,1
2026-01-16,福井,越前そばの里 エリア,岡太神社・大瀧神社,1
2026-01-16,福井,道の駅「パークイン丹生ヶ丘」,道の駅「西山公園」 エリア,1
2026-01-16,福井,金ヶ崎 エリア,敦賀赤レンガ倉庫,1
2026-01-17,石川,のとじま水族館,和倉温泉,3
2026-01-17,石川,兼六園,小松空港,1
2026-01-17,石川,和倉温泉お祭り会館,和倉温泉総湯,1
2026-01-17,石川,福井県立恐竜博物館,小松空港,1
2026-01-17,福井,あわら温泉街,あわら湯のまち エリア,1
2026-01-17,福井,あわら温泉街,かつやま恐竜の森 エリア,1
2026-01-17,福井,あわら温泉街,三国湊 エリア,1
2026-01-17,福井,あわら湯のまち エリア,三国サンセットビーチ,1
2026-01-17,福井,かつやま恐竜の森 エリア,福井駅,1
2026-01-17,福井,かつやま恐竜の森 エリア,越前大仏,1
2026-01-17,福井,メタセコイア並木（滋賀県）,熊川宿 エリア,1
2026-01-17,福井,リラ・ポート,金ヶ崎 エリア,1
2026-01-17,福井,一乗谷朝倉氏遺跡,一乗谷朝倉氏遺跡 エリア,1
2026-01-17,福井,一乗谷朝倉氏遺跡,福井駅前 エリア,1
2026-01-17,福井,三国サンセットビーチ,道の駅みくに ふれあいパーク三里浜 エリア,1
2026-01-17,福井,三国湊 エリア,ふれあいパーク三里浜(道の駅「みくに」),1
2026-01-17,福井,北の庄城址・柴田公園,福井駅前 エリア,1
2026-01-17,福井,大本山 永平寺 エリア,一乗谷朝倉氏遺跡,1
2026-01-17,福井,大本山 永平寺 エリア,越前大仏,2
2026-01-17,福井,暦会館,若狭フィッシャーマンズワーフ エリア,1
2026-01-17,福井,氣比神宮,金ヶ崎 エリア,2
2026-01-17,福井,福井県立恐竜博物館,福井駅前 エリア,1
2026-01-17,福井,福井駅,福井駅前 エリア,1
2026-01-17,福井,福井駅前 エリア,越前大仏,1
2026-01-17,福井,越前がにミュージアム,道の駅「越前」 エリア,2
2026-01-17,福井,越前大仏,道の駅「禅の里」 エリア,1
2026-01-17,福井,越前大仏,道の駅「越前おおの荒島の郷」 エリア,1
2026-01-17,福井,道の駅「越前」 エリア,劔神社,1
2026-01-17,福井,道の駅「越前」 エリア,福井県立恐竜博物館,1
2026-01-17,福井,金ヶ崎 エリア,敦賀鉄道資料館（旧敦賀港駅舎 ）,1
2026-01-18,石川,のとじま水族館,和倉温泉,1
2026-01-18,石川,フォーラス,金沢駅,1
2026-01-18,石川,兼六園,のとじま水族館,1
2026-01-18,石川,兼六園,小松空港,1
2026-01-18,石川,東尋坊,小松空港,1
